ADDRESS;NAME;ORIGINAL_LAT;ORIGINAL_LNG
г. Бирск, ул. 8 марта 46;Бирск ТЦ Нефтяник;55.410602;55.560702
г. Ростов-на-Дону, Ворошиловский р-н, ул. Омская 2к;Ростов ТЦ Реал;47.25846807342138;39.722506658721585
г. Ставрополь, ул. Тухачевского 14/2;Ставрополь ТЦ Москва;45.012402;41.918499
г. Дзержинск, ул. Гайдара 59;Дзержинск ТЦ Росси;56.234865;43.436365
г. Воронеж, ул. Кольцовская 35;Воронеж ТЦ Галерея Чижова;51.665937;39.191618
г. Миасс, проспект Автозаводцев 65;Миасс ТЦ Слон;55.046099;60.110597
МО, г. Егорьевск, ул. Советская 157;Егорьевск ТЦ Форум;55.377941;39.044906
г. Одинцово, ул. Советская,д.2;Одинцово ТЦ Подворье;55.672199;37.2795
Кемеровская обл., г. Новокузнецк, ул. Металлургов 1;Новокузнецк Металлургов;53.748308782531;87.117459110467
Московское шоссе 65А;Рязань ТЦ М5;54.650479;39.635817
г. Лесосибирск, ул. Победы, д.31Б;Лесосибирск ТЦ Сибирский Городок;58.185674;92.531909
Республика Коми, г. Сыктывкар, Октябрьский пр. д.141;Сыктывкар ТЦ Макси;61.698567;50.802002
г. Красноярск, ул.60 лет Октября,зд.48;Красноярск ТЦ Енисей;55.976901;92.856075
г. Дмитров, ул. Загорская 22;Дмитров Советская;56.3428;37.516
г. Красноуфимск, ул. Озерная 22;Красноуфимск ТЦ Фактория;56.612999;57.773602
ул. Коммунистическая 18;Бугуруслан Коммунистическая;53.65573053527376;52.43421414022436
г. Астрахань, Вокзальная площадь 13;Астрахань ТЦ Ярмарка;46.359917;48.055358
г. С.-Петербург, Гражданский пр., 41;С-Петербург ТЦ Академ Парк;60.011464;30.39783
г. Ессентуки ул. Интернациональная 27;Ессентуки Дионис;44.04128993505913;42.86123539881113
Республика Дагестан, г.Хасавюрт, Махачкалинское шоссе 9;Хасавюрт ТЦ Майн Рид;43.238386184691;46.580428259796
Московская обл., г. Серпухов, Борисовское шоссе 1;Серпухов ТЦ Корстон;54.917324;37.425845
г. Москва, ул. Пришвина 22;Москва ТЦ Александр Лэнд;55.885469;37.602166
г. Вологда, Окружное шоссе 12;Вологда ТЦ Рио;59.203002;39.812498
г. Челябинск, ул. Молодогвардейцев 7;Челябинск ТЦ Фиеста;55.204957;61.328191
г. Россошь, пл. Октябрьская 18-а;Россошь ТЦ Якиманка;50.190102;39.574768
г.Ишим, ул.К.Маркса 62/1;Ишим Маркса;56.109702;69.495898
ЕАО, г. Биробиджан, ул. Советская 58;Биробиджан ТЦ Великан;48.778712;132.941131
Воронежская обл., г. Борисоглебск, ул. Советская 80;Борисоглебск ТЦ Первый;51.365285;42.099609
г.Саратов, Расковское муниципальное образование, Вольский тракт 2;Саратов ТЦ Хэппи Молл;51.621449;45.972443
г. Северодвинск, Морской проспект, 70;Северодвинск ТЦ Сити;64.535260210918;39.778193965912
г. Омск, ул. Энтузиастов 2/1;Омск ТЦ ОК;55.045398;73.2707
г. Уфа, Кировский р-он, Рубежная 174;Уфа ТЦ Мега;54.668509;55.930852
г. Славянск-на-Кубани, ул. Ковтюха 50;Славянск-на-Кубани Ковтюха;45.259852579794;38.123482244041
Петропавловск-Камчатский, пр. Победы 67;Петропавловск-Камчатский ТЦ Пассаж;53.071850489702;158.58758304662
г. Краснодар, Карасунский внутригородской округ, ул. Крылатая 2;Краснодар ТЦ ОЗ Молл;45.034942;38.976032
г. Домодедово, микрорайон Северный, Каширское шоссе, стр.3 а;Домодедово ТЦ Торговый Квартал;55.451967;37.763198
Амурская обл., г.Белогорск, ул.Ленина,63;Белогорск Ленина;50.918902;128.473001
г.Киров, ул.Комсомольская 37А;Киров ТЦ Лето;58.579977;49.650182
Ставропольский край, г. Ессентуки, ул. Ермолова 2;Ессентуки ТЦ Каньон;44.037197;42.870902
Красноярский край, г. Зеленогорск, ул. Песчаная 2;Зеленогорск ТЦ Сибирский Городок;56.102092;94.577068
г. Нижний Новгород, ул. Бетанкура 1;Нижний Новгород ТЦ 7 Небо;56.33809;43.954908
г. Санкт-Петербург, ул. Тепловозная, д. 31;С-Петербург ТЦ Порт Находка;59.83177;30.501428
ЗАТО Северск, ул. Курчатова 11а;Северск ТЦ Мармелайт;56.59384;84.909752
г. Москва, Шоссе Энтузиастов 12, корпус 2;Москва ТЦ Город Лефортово;55.747424;37.70708
г. Ульяновск, ул. Радищева 39;Ульяновск ТЦ Энтерра;54.327199;48.401362
г. Чебоксары, ул. Ленинского Комсомола 21а;Чебоксары ТЦ Мадагаскар;56.107614;47.280732
Свердловская область, г. Первоуральск, пр. Ильича 31;Первоуральск ТЦ Строитель;56.9049237203443;59.9521671023375
г. Ростов-на-Дону, пр. Михаила Нагибина 17;Ростов ТЦ РИО;47.246717;39.712201
г Пермь, ул. Юрша 82;Пермь Юрша;58.002501;56.305504
г. Оренбург, пр. Гагарина 29/2;Оренбург ТЦ Чайка;51.773488;55.184334
г. Кыштым, ул. Карла Либкнехта 178Б;Кыштым ТЦ Фаэтон;55.706898;60.548885
г. Клинцы, пр. Ленина, 13;Клинцы Ленина;52.755476;32.247551
Республика Марий Эл, г.Волжск, ул.Ленина 55в;Волжск ТЦ Глория;55.8645;48.359896
г.Подольск, ул.Свердлова 26 ТЦ Галерея;Подольск ТЦ Галерея;55.426053;37.540632
г. Луга, проспект Володарского 30а;Луга Володарского;58.725958;29.847442
г. Киров, ул. Ленина 102а;Киров Ленина;58.595399;49.682099
Пермский край, г. Соликамск, ул. 20 лет Победы, д.99 а;Соликамск Бисмарк-1;59.649102;56.7757
Приморский край, г. Владивосток, ул. Запорожская 77;Владивосток ТЦ Черемушки;43.099666975682;131.90399532674
г.Орел, Московское шоссе, 175;Орел ТЦ РИО;53.016583;36.16028
Ленинградская  область, г. Всеволожск, Октябрьский пр., д. 85;Всеволожск ТЦ Юбилейный;60.019774;30.646628
г. Москва, Ореховый бульвар 22А;Москва ТЦ Облака;55.612039;37.732763
г.Павловский Посад, ул.Большая Покровская 35;Павловский Посад Сити-Центр;55.772122;38.65377
Краснодарский край, г Анапа , Астраханская, 99;Анапа ТЦ Красная Площадь;44.880418;37.339463
ул. Ленинградская 27;Казань ТЦ Бахетле;55.863202;49.084998
г. Тихорецк, ул. Октябрская 58 а;Тихорецк Октябрьская;45.857715534956;40.131228508534
г. Южно-Сахалинск, ул. Сахалинская 69;Южно-Сахалинск ТЦ Калинка;46.963386;142.725797
г.Томск, ул.Елизаровых,41;Томск Юбилейный;56.46084;84.987345
г.Рязань, Московское шоссе 21;Рязань ТЦ Премьер;54.631535;39.699984
г. Ногинск, ул. Трудовая 11;Ногинск ТЦ Атак;55.855644;38.43839
г.Ульяновск, Московское шоссе,108;Ульяновск ТЦ Аквамолл;54.306691;48.359707
г.Ульяновск, ул.Рябикова, 70;Ульяновск ТЦ Альянс Атриум;54.27732;48.290178
Россия, Санкт-Петербург, проспект Культуры, 1;С-Петербург ТЦ Родео Драйв;60.033701;30.367755
Ставропольский край, г. Изобильный, пер. Ленина 10;Изобильный ТЦ Москва;45.370651;41.708303
Кемеровская обл.,г.  Анжеро-Судженск ул. Ленина 13а;Анжеро-Судженск ТЦ Сибирский городок;56.080414030801;86.019753689011
г. Петрозаводск, пр. Ленина 14в;Петрозаводск ТЦ Макси;61.791354;34.364422
Ленинградская обл., г. Тихвин, Карла Маркса 16;Тихвин Маркса;59.644627;33.51591
Курганская обл.г.Шадринск, ул.Свердлова, в районе д.77;Шадринск ТЦ Монетка;56.087901;63.634903
г. Альметьевск, ул.Ленина, д.1«В»;Альметьевск ТЦ Час Пик;54.903768249529;52.314429053408
г. Кореновск, ул. К. Маркса 318б;Кореновск Карла Маркса;45.473101;39.4266
Московская обл., г. Луховицы, ул. Пушкина 125;Луховицы ТЦ Кадо;54.968158;39.028475
Краснодарский край,г.Кропоткин, ул.Красная 116 В;Кропоткин Красная;45.434000709695;40.565271660233
ул. Ленина 7;Бузулук ТЦ Калина;52.78604501883456;52.264658728835556
Удмуртская республика. г. Глазов, пл. Свободы 1;Глазов ТЦ Пассаж;58.140302;52.677298
г. Сызрань, Московская 33;Сызрань ТЦ Москва;53.1663;48.480297
г. Ульяновск, проспект Ульяновский 1;Ульяновск ТЦ Самолет;54.369162;48.58708
г. Барнаул, пр. Красноармейский 58;Барнаул ТЦ Первомайский;53.3375;83.77523
Кемеровская обл., г. Белово, ул. Чкалова 11;Белово ТЦ Сибирский городок;54.4315;86.303503
г.Абакан, ул.Щетинкина, 59;Абакан ТЦ Фестиваль;53.728301;91.441004
г. Нижний Новгород, Московское шоссе 12;Нижний Новгород ТЦ РИО;56.317727;43.925372
Московская область, г. Красногорск , ул Знаменская дом 5 ;Красногорск ТЦ Июнь;55.818877;37.346739
г. Москва, ул. Снежная вл.27 А,Б,Г;Москва ТЦ Свиблово;55.856518;37.652131
г. Воронеж, ул. Героев Сибиряков 65А;Воронеж ТЦ Армада;51.64611741022664;39.13885455554098
г. Махачкала, ул. Казбекова 161;Махачкала Казбекова;42.984102;47.470699
г. Челябинск ул. Черкасская 15;Челябинск ТЦ КС;55.230328;61.379197
г. Сургут, Нефтеюганское шоссе 1;Сургут ТЦ Аура;61.274598;73.383097
г. Сургут, Югорский тракт 38;Сургут ТЦ Сити Молл;61.239601;73.373602
пр. Строителей,1В;Пенза ТЦ Коллаж Новый;53.22053998178522;44.951642000060154
г.Нальчик, ул.Кирова,1д;Нальчик ТЦ Галерея;43.4765;43.5736
Республика Башкортостан, г. Туймазы, ул. Горького 41, литер А;Туймазы ТЦ Иремель;54.590401;53.707199
г. Ставрополь, ул Кулакова д 29А;Ставрополь Кулакова;45.062073095741;41.924320853003
г.Смоленск, ул.Ново-Московская 2/8;Смоленск ТЦ Галактика;54.795691;32.054081
